Urban Area,Year,Freeway Daily Vehicle-Miles of Travel,Arterial Street Daily Vehicle-Miles of Travel,Annual Excess Fuel Consumed Total Gallons,Rank,Annual Excess Fuel Consumed Gallons per Auto Commuter,Rank,Annual Hours of Delay per Auto Commuter,Rank,Commuter Stress Index Value,Rank,Annual Congestion Cost Total Dollars (million),Rank
Akron OH,1982,2745,2120,916,74,2,62,5,95,1.03,98,97,75
Akron OH,1983,3160,2380,1066,72,2,68,6,94,1.04,91,109,75
Akron OH,1984,3290,2555,1363,71,3,54,7,90,1.04,94,134,72
Akron OH,1985,3255,2395,1407,72,3,63,7,92,1.04,97,134,75
Akron OH,1986,3390,2715,1560,72,3,71,8,90,1.05,93,146,75
Akron OH,1987,3435,2615,1634,73,4,55,9,88,1.05,94,147,78
Akron OH,1988,3870,2725,2061,71,5,47,11,86,1.06,93,178,74
Akron OH,1989,4105,2910,2580,66,6,44,13,84,1.07,89,213,67
Akron OH,1990,4145,3070,3034,63,7,38,16,81,1.08,84,237,69
Akron OH,1991,4140,3215,3505,62,8,31,18,73,1.09,78,263,65
Akron OH,1992,4230,3365,4256,56,9,28,21,66,1.1,76,310,63
Akron OH,1993,4580,3520,4850,55,11,15,24,60,1.11,76,343,58
Akron OH,1994,4715,3770,5203,56,12,15,25,62,1.12,74,359,61
Akron OH,1995,4635,3900,5368,56,12,20,26,62,1.12,76,360,65
Akron OH,1996,4775,4105,5608,56,13,17,27,63,1.13,75,365,65
Akron OH,1997,5100,3995,5627,61,13,27,26,69,1.12,82,358,65
Akron OH,1998,5210,4040,5642,63,13,34,26,72,1.12,85,354,67
Akron OH,1999,5245,4050,5724,63,13,44,26,78,1.12,90,351,68
Akron OH,2000,5320,4005,5896,64,13,53,26,81,1.12,92,350,72
Akron OH,2001,5350,4005,5908,68,13,58,26,84,1.12,92,341,72
Akron OH,2002,5335,3990,6054,69,13,64,26,86,1.12,92,344,72
Akron OH,2003,5435,3990,6200,71,14,62,27,86,1.13,89,345,73
Akron OH,2004,5650,4025,6379,71,14,68,27,88,1.13,91,345,74
Akron OH,2005,5555,4100,6507,71,15,65,28,88,1.13,94,341,75
Akron OH,2006,5600,4445,6655,71,15,67,28,88,1.13,95,337,75
Akron OH,2007,5530,4385,6796,73,15,72,28,88,1.13,95,335,75
Akron OH,2008,5600,4500,6601,74,15,74,27,88,1.13,95,314,79
Akron OH,2009,5675,4600,6070,75,14,77,25,89,1.12,96,289,80
Akron OH,2010,5738,4712,6099,76,14,78,25,89,1.12,96,286,81
Akron OH,2011,5729,4704,6141,76,14,79,25,89,1.12,97,279,81
Akron OH,2012,5480,4400,6299,75,14,80,26,89,1.12,97,281,81
Akron OH,2013,5660,4475,6404,76,14,83,26,89,1.12,98,281,82
Akron OH,2014,5847,4493,6586,75,15,78,27,89,1.13,94,284,80
Albany-Schenectady NY,1982,2450,2750,1141,69,2,62,7,82,1.04,90,132,69
Albany-Schenectady NY,1983,2495,2840,1190,70,2,68,7,85,1.04,91,133,70
Albany-Schenectady NY,1984,2740,2900,1265,72,3,54,8,83,1.05,88,136,71
Albany-Schenectady NY,1985,3040,2920,1537,70,3,63,10,80,1.05,91,159,69
Albany-Schenectady NY,1986,3270,2950,1642,71,3,71,10,83,1.06,86,167,70
Albany-Schenectady NY,1987,3645,2980,1812,70,4,55,11,82,1.06,89,178,70
Albany-Schenectady NY,1988,3800,3000,2128,70,4,66,13,80,1.07,82,201,68
Albany-Schenectady NY,1989,3990,3105,2288,70,5,57,14,80,1.07,89,206,69
Albany-Schenectady NY,1990,4160,3300,2796,67,6,51,17,71,1.08,84,238,68
Albany-Schenectady NY,1991,4260,3500,2951,69,6,58,17,78,1.08,89,241,70
Albany-Schenectady NY,1992,4405,3700,3137,68,6,63,18,80,1.09,84,249,69
Albany-Schenectady NY,1993,4520,3750,3234,71,7,59,19,78,1.09,90,249,72
Albany-Schenectady NY,1994,4605,3800,3561,70,7,65,20,80,1.1,87,268,70
Albany-Schenectady NY,1995,4625,3900,3725,70,8,62,21,78,1.1,88,272,70
Albany-Schenectady NY,1996,4850,3950,3958,72,8,70,22,79,1.1,90,281,72
Albany-Schenectady NY,1997,4975,4100,4203,72,9,68,23,77,1.11,89,292,72
Albany-Schenectady NY,1998,5150,4280,4799,71,10,66,26,72,1.12,85,328,70
Albany-Schenectady NY,1999,5330,4350,5082,72,11,63,27,73,1.12,90,340,71
Albany-Schenectady NY,2000,5500,4375,5691,68,12,60,29,72,1.13,85,368,67
Albany-Schenectady NY,2001,5730,4400,6072,66,13,58,31,70,1.14,85,382,67
Albany-Schenectady NY,2002,5820,4450,6560,66,14,55,32,69,1.15,82,406,65
Albany-Schenectady NY,2003,6000,4475,7466,63,15,52,36,53,1.16,74,452,64
Albany-Schenectady NY,2004,6210,4660,8065,60,17,43,37,53,1.16,77,476,60
Albany-Schenectady NY,2005,6400,4800,8976,55,19,30,40,42,1.18,68,512,57
Albany-Schenectady NY,2006,6755,5205,9299,56,19,33,41,42,1.18,72,514,58
Albany-Schenectady NY,2007,7005,5260,9562,57,20,26,41,46,1.18,75,514,58
Albany-Schenectady NY,2008,6970,5115,9605,58,20,30,41,45,1.18,72,497,58
Albany-Schenectady NY,2009,7000,5300,9480,57,20,24,40,42,1.18,62,493,58
Albany-Schenectady NY,2010,7161,5429,9554,57,20,27,40,43,1.17,74,488,59
Albany-Schenectady NY,2011,7173,5501,9650,58,20,30,40,44,1.18,66,478,59
Albany-Schenectady NY,2012,7060,5490,9780,58,20,36,41,43,1.18,66,475,59
Albany-Schenectady NY,2013,7068,5513,9976,58,21,27,42,40,1.18,69,477,58
Albany-Schenectady NY,2014,7273,5623,10164,58,21,32,42,43,1.18,71,479,58
Albuquerque NM,1982,1735,5000,2400,48,4,28,15,33,1.09,43,269,49
Albuquerque NM,1983,1885,5200,2664,47,5,19,16,32,1.09,47,289,47
Albuquerque NM,1984,1870,5400,2836,48,5,22,17,34,1.1,46,295,49
Albuquerque NM,1985,1865,5500,2877,50,5,29,17,38,1.1,48,289,52
Albuquerque NM,1986,1980,5650,3206,50,6,23,19,37,1.1,51,316,53
Albuquerque NM,1987,2100,5750,3329,51,6,27,19,43,1.1,52,317,54
Albuquerque NM,1988,2225,5900,3486,53,6,31,19,49,1.11,51,319,54
Albuquerque NM,1989,2310,6050,3827,53,7,29,20,49,1.11,52,334,54
Albuquerque NM,1990,2430,6100,4107,53,7,38,21,53,1.12,51,340,54
Albuquerque NM,1991,2480,6150,4509,53,8,31,22,54,1.12,54,358,54
Albuquerque NM,1992,2670,6275,4845,52,9,28,24,54,1.13,51,373,55
Albuquerque NM,1993,2940,6300,5568,50,10,24,26,49,1.14,50,417,51
Albuquerque NM,1994,3100,6335,6052,48,11,20,28,47,1.14,58,442,51
Albuquerque NM,1995,3255,6425,6722,49,12,20,29,48,1.15,55,477,51
Albuquerque NM,1996,3505,6490,7567,48,13,17,31,45,1.16,53,521,51
Albuquerque NM,1997,3585,6650,8458,47,15,12,35,36,1.18,48,570,49
Albuquerque NM,1998,3720,6500,9255,46,16,12,37,31,1.19,45,614,48
Albuquerque NM,1999,3825,6500,9824,47,17,12,39,28,1.2,42,638,48
Albuquerque NM,2000,3875,6600,9958,48,18,12,39,33,1.2,46,625,50
Albuquerque NM,2001,3980,6670,10051,48,18,15,39,36,1.19,51,614,51
Albuquerque NM,2002,4100,6785,10143,49,18,19,40,34,1.2,47,610,52
Albuquerque NM,2003,4285,7050,10243,53,18,25,39,43,1.19,53,602,52
Albuquerque NM,2004,4515,7240,10414,53,18,33,39,43,1.19,55,596,53
Albuquerque NM,2005,4665,7335,10605,53,19,30,39,48,1.19,58,587,53
Albuquerque NM,2006,4750,7445,10627,54,19,33,38,55,1.19,59,569,54
Albuquerque NM,2007,4875,7470,10753,54,19,41,38,55,1.19,63,561,56
Albuquerque NM,2008,4925,7460,10909,53,19,41,38,56,1.19,65,548,55
Albuquerque NM,2009,5150,7500,10470,53,19,35,36,59,1.18,62,528,55
Albuquerque NM,2010,5326,7566,10453,54,18,48,35,66,1.18,65,518,55
Albuquerque NM,2011,5469,7627,10596,54,19,44,36,62,1.18,66,509,55
Albuquerque NM,2012,5025,7220,10705,54,19,47,37,57,1.19,60,504,56
Albuquerque NM,2013,4818,7584,10829,54,19,49,37,61,1.19,60,503,57
Albuquerque NM,2014,4736,7834,10961,54,19,51,36,70,1.18,71,501,56
Allentown PA-NJ,1982,1735,2965,1858,56,3,36,11,54,1.09,43,205,56
Allentown PA-NJ,1983,1885,2980,2000,54,4,29,12,52,1.09,47,214,56
Allentown PA-NJ,1984,1870,3030,2071,56,4,34,12,56,1.09,49,212,58
Allentown PA-NJ,1985,1865,3100,2189,57,4,40,12,63,1.09,53,217,64
Allentown PA-NJ,1986,1980,3205,2371,58,4,48,13,65,1.09,56,230,63
Allentown PA-NJ,1987,2100,3260,2658,57,5,39,14,64,1.08,67,249,62
Allentown PA-NJ,1988,2225,3315,2701,58,5,47,14,75,1.09,66,243,64
Allentown PA-NJ,1989,2310,3375,2824,61,5,57,14,80,1.08,79,243,65
Allentown PA-NJ,1990,2430,3450,3311,59,6,51,17,71,1.09,75,270,63
Allentown PA-NJ,1991,2480,3560,3516,61,6,58,17,78,1.1,74,275,64
Allentown PA-NJ,1992,2670,3800,4091,59,7,53,20,68,1.13,51,311,62
Allentown PA-NJ,1993,2940,4020,4670,56,8,50,22,68,1.14,50,344,57
Allentown PA-NJ,1994,3100,4210,5462,54,10,37,25,62,1.15,51,393,56
Allentown PA-NJ,1995,3255,4335,6290,52,11,35,28,53,1.17,46,440,53
Allentown PA-NJ,1996,3505,4505,7263,51,13,17,31,45,1.19,41,493,53
Allentown PA-NJ,1997,3585,4710,7873,50,14,18,33,45,1.18,48,523,52
Allentown PA-NJ,1998,3720,4860,8017,53,14,27,33,47,1.18,50,524,54
Allentown PA-NJ,1999,3800,5040,8243,53,15,26,33,53,1.19,48,527,55
Allentown PA-NJ,2000,3920,5210,8667,53,15,33,34,50,1.2,46,536,54
Allentown PA-NJ,2001,4050,5250,8639,54,15,40,33,59,1.19,51,520,54
Allentown PA-NJ,2002,4200,5280,8672,54,15,49,33,61,1.19,54,514,55
Allentown PA-NJ,2003,4600,5300,8404,55,15,52,31,77,1.19,53,487,59
Allentown PA-NJ,2004,4870,5350,8484,56,15,59,31,81,1.19,55,478,59
Allentown PA-NJ,2005,5085,5425,8588,59,15,65,32,81,1.19,58,468,61
Allentown PA-NJ,2006,4950,5445,8594,61,15,67,31,84,1.19,59,454,63
Allentown PA-NJ,2007,4935,5630,8631,61,15,72,31,84,1.19,63,444,65
Allentown PA-NJ,2008,4780,5475,8303,65,15,74,30,85,1.18,72,411,67
Allentown PA-NJ,2009,4850,5400,8112,64,14,77,29,86,1.18,62,403,66
Allentown PA-NJ,2010,5080,5382,8432,64,15,71,30,85,1.19,58,412,65
Allentown PA-NJ,2011,5096,5399,8527,65,15,74,30,86,1.19,60,404,65
Allentown PA-NJ,2012,5080,5400,8594,65,15,76,30,86,1.19,60,399,67
Allentown PA-NJ,2013,5310,5284,8662,65,15,78,30,87,1.19,60,396,67
Allentown PA-NJ,2014,5427,5231,8743,65,15,78,30,86,1.19,61,393,67
Anchorage AK,1982,800,1700,510,87,3,36,9,65,1.04,90,59,87
Anchorage AK,1983,855,1805,614,83,3,42,11,57,1.05,85,69,86
Anchorage AK,1984,875,1820,677,83,3,54,11,64,1.06,76,72,86
Anchorage AK,1985,900,1830,764,83,4,40,12,63,1.06,81,79,86
Anchorage AK,1986,925,1840,825,83,4,48,13,65,1.07,72,84,85
Anchorage AK,1987,960,1860,908,84,5,39,14,64,1.07,78,89,85
Anchorage AK,1988,1000,1885,1024,84,5,47,16,62,1.08,74,96,85
Anchorage AK,1989,1030,1890,1101,86,6,44,17,63,1.09,69,99,86
Anchorage AK,1990,1045,1900,1254,85,6,51,19,64,1.11,59,107,85
Anchorage AK,1991,1075,1920,1431,85,7,49,21,62,1.12,54,117,83
Anchorage AK,1992,1120,1920,1520,85,8,47,22,63,1.13,51,120,85
Anchorage AK,1993,1170,1905,1639,85,8,50,23,66,1.14,50,126,83
Anchorage AK,1994,1255,1960,1815,85,9,49,25,62,1.15,51,136,85
Anchorage AK,1995,1295,1975,1950,85,10,44,26,62,1.15,55,142,84
Anchorage AK,1996,1300,1985,2056,85,10,50,27,63,1.16,53,146,84
Anchorage AK,1997,1315,2000,2125,87,11,49,27,66,1.16,55,147,87
Anchorage AK,1998,1370,2050,2239,87,11,56,28,66,1.17,53,153,87
Anchorage AK,1999,1400,2090,2513,87,13,44,31,64,1.19,48,168,86
Anchorage AK,2000,1430,2125,2695,88,14,43,32,62,1.19,51,174,86
Anchorage AK,2001,1455,2190,2847,89,14,52,33,59,1.2,46,179,87
Anchorage AK,2002,1495,2220,2938,89,15,49,33,61,1.2,47,181,89
Anchorage AK,2003,1520,2240,2998,89,15,52,34,62,1.21,45,181,90
Anchorage AK,2004,1505,2250,3073,90,16,53,35,59,1.21,45,181,90
Anchorage AK,2005,1535,2240,3091,91,16,55,35,65,1.21,47,176,90
Anchorage AK,2006,1520,2240,3219,90,16,60,36,61,1.22,44,177,90
Anchorage AK,2007,1560,2220,3325,91,17,57,36,68,1.22,45,178,91
Anchorage AK,2008,1465,2130,3496,89,18,51,37,61,1.23,44,180,90
Anchorage AK,2009,1414,2055,3120,92,16,61,33,74,1.2,52,162,92
Anchorage AK,2010,1400,1973,3316,91,17,58,34,71,1.21,49,169,91
Anchorage AK,2011,1380,1992,3526,90,18,51,36,62,1.22,45,174,91
Anchorage AK,2012,1365,2130,3564,90,18,55,36,67,1.22,47,172,92
Anchorage AK,2013,1370,2170,3625,90,18,57,35,70,1.22,46,173,92
Anchorage AK,2014,1415,2240,3847,89,19,51,37,66,1.23,43,181,89
Atlanta GA,1982,14270,16500,9426,14,3,36,22,13,1.17,21,1301,14
Atlanta GA,1983,16995,17000,10269,14,4,29,22,13,1.17,24,1373,14
Atlanta GA,1984,18230,17500,11172,14,4,34,23,13,1.17,26,1432,14
Atlanta GA,1985,19555,18020,12495,14,4,40,25,14,1.18,24,1547,14
Atlanta GA,1986,21650,19280,13722,14,5,33,26,15,1.19,24,1668,14
Atlanta GA,1987,22965,19900,15807,14,6,27,29,15,1.2,23,1854,14
Atlanta GA,1988,23105,20600,17312,14,6,31,31,13,1.21,22,1949,14
Atlanta GA,1989,24755,21900,18506,14,7,29,32,13,1.22,21,1988,14
Atlanta GA,1990,25260,23000,19488,14,7,38,33,13,1.22,22,1986,14
Atlanta GA,1991,25970,25000,21094,14,7,49,35,13,1.23,22,2063,13
Atlanta GA,1992,27510,26510,24570,14,9,28,39,12,1.25,19,2333,13
Atlanta GA,1993,30675,28500,28181,13,10,24,43,9,1.27,14,2598,12
Atlanta GA,1994,33840,31000,30797,13,11,20,45,9,1.28,13,2768,12
Atlanta GA,1995,35395,32500,33661,12,12,20,47,8,1.29,13,2942,12
Atlanta GA,1996,36750,34400,35405,12,12,31,48,8,1.29,15,3006,12
Atlanta GA,1997,39650,35900,38363,12,13,27,49,8,1.3,15,3184,12
Atlanta GA,1998,42000,37000,41564,12,15,17,51,7,1.31,15,3397,12
Atlanta GA,1999,44630,38600,44240,13,16,17,52,7,1.31,16,3537,12
Atlanta GA,2000,45800,39750,46075,13,16,23,52,7,1.32,16,3564,12
Atlanta GA,2001,46150,41000,48392,13,17,20,53,7,1.32,16,3640,12
Atlanta GA,2002,47390,42500,50599,13,18,19,54,7,1.33,16,3747,11
Atlanta GA,2003,48500,44000,51975,13,18,25,54,7,1.33,16,3763,11
Atlanta GA,2004,49000,44850,53361,13,19,23,55,8,1.33,16,3763,11
Atlanta GA,2005,49200,45000,54490,13,19,30,55,10,1.33,18,3717,12
Atlanta GA,2006,48055,44630,55320,13,19,33,55,11,1.33,17,3652,12
Atlanta GA,2007,47830,44800,56328,13,20,26,55,11,1.33,19,3620,11
Atlanta GA,2008,46000,42500,55814,14,20,30,54,11,1.32,19,3453,11
Atlanta GA,2009,47000,42373,53462,14,19,35,51,10,1.31,22,3320,11
Atlanta GA,2010,48865,42646,53947,14,19,39,50,12,1.31,22,3295,12
Atlanta GA,2011,49501,43201,54738,14,19,44,51,11,1.31,23,3241,13
Atlanta GA,2012,50245,43850,55513,14,20,36,51,12,1.31,24,3221,13
Atlanta GA,2013,49469,44233,56536,14,20,40,52,11,1.31,25,3233,13
Atlanta GA,2014,51003,46002,57113,14,20,44,52,12,1.32,23,3214,13
Austin TX,1982,3000,3000,1899,53,2,62,16,28,1.2,16,245,52
Austin TX,1983,3615,3200,2238,53,2,68,18,25,1.21,16,280,50
Austin TX,1984,3730,3400,2463,53,3,54,19,27,1.22,17,296,48
Austin TX,1985,4200,3500,2621,52,3,63,19,30,1.22,18,304,49
Austin TX,1986,4550,3650,2925,54,3,71,21,26,1.23,17,333,49
Austin TX,1987,4375,3800,3089,54,3,77,22,29,1.24,15,339,50
Austin TX,1988,4555,3950,3233,55,3,79,21,38,1.23,18,341,53
Austin TX,1989,4900,4100,3428,55,3,84,22,40,1.24,18,345,53
Austin TX,1990,5320,4250,3908,54,4,77,24,39,1.25,17,373,51
Austin TX,1991,5830,4400,4282,54,4,82,25,38,1.26,15,392,50
Austin TX,1992,6100,4500,4678,54,5,77,26,40,1.26,16,416,50
Austin TX,1993,6500,4600,5124,53,5,79,28,39,1.28,12,442,50
Austin TX,1994,6800,4800,5552,53,6,79,29,41,1.29,11,467,50
Austin TX,1995,7250,5200,6186,54,6,81,31,40,1.3,11,506,50
Austin TX,1996,7600,5600,7210,52,7,77,34,34,1.32,10,573,46
Austin TX,1997,8000,6000,8148,49,8,74,36,29,1.33,11,633,45
Austin TX,1998,8250,6600,9004,47,9,74,38,28,1.35,9,689,45
Austin TX,1999,8500,7250,10010,46,10,73,40,26,1.36,10,749,44
Austin TX,2000,8800,7700,10759,46,11,70,42,24,1.37,8,779,44
Austin TX,2001,9300,8100,11965,45,12,66,44,21,1.39,8,842,43
Austin TX,2002,9750,8550,12673,45,13,64,45,23,1.39,8,878,43
Austin TX,2003,10200,9000,13579,44,14,62,47,21,1.4,8,920,43
Austin TX,2004,10800,9400,14717,42,15,59,49,17,1.42,7,971,42
Austin TX,2005,11400,10000,15604,41,16,55,50,19,1.43,7,996,38
Austin TX,2006,11750,10500,16623,40,17,52,52,15,1.44,6,1027,37
Austin TX,2007,12200,11000,17988,36,18,47,51,18,1.44,8,1082,35
Austin TX,2008,11900,10800,18168,36,18,51,50,19,1.43,9,1052,35
Austin TX,2009,11960,10854,17465,37,18,45,46,20,1.4,9,1015,36
Austin TX,2010,12274,10677,18547,36,19,39,46,22,1.4,9,1060,33
Austin TX,2011,12650,11004,19491,35,20,30,47,18,1.41,9,1080,32
Austin TX,2012,12510,10680,20538,34,21,25,49,18,1.42,9,1115,31
Austin TX,2013,12849,10805,21205,33,22,21,51,15,1.43,8,1135,31
Austin TX,2014,13273,11237,21654,33,22,23,52,12,1.44,7,1140,31
Bakersfield CA,1982,880,1900,98,99,0,99,1,101,1.01,101,14,99
Bakersfield CA,1983,925,2000,103,99,0,99,1,101,1.01,101,14,99
Bakersfield CA,1984,1135,2050,120,99,0,100,1,101,1.01,101,16,99
Bakersfield CA,1985,1215,2200,139,99,0,100,2,100,1.01,101,17,99
Bakersfield CA,1986,1220,2400,153,99,0,100,2,100,1.01,101,19,99
Bakersfield CA,1987,1260,2550,220,99,1,93,2,100,1.02,101,26,99
Bakersfield CA,1988,1375,2650,294,99,1,94,3,100,1.02,101,34,99
Bakersfield CA,1989,1410,2800,313,99,1,97,3,100,1.02,101,34,99
Bakersfield CA,1990,1460,2900,338,99,1,98,3,100,1.02,101,35,99
Bakersfield CA,1991,1530,3050,390,99,1,98,4,99,1.03,101,39,99
Bakersfield CA,1992,1520,3200,440,98,1,98,4,99,1.03,101,43,98
Bakersfield CA,1993,1500,3330,548,97,1,99,5,99,1.03,101,51,98
Bakersfield CA,1994,1570,3400,602,97,1,100,5,99,1.03,101,55,98
Bakersfield CA,1995,1575,3550,625,97,1,100,5,101,1.03,101,56,97
Bakersfield CA,1996,1595,3620,688,97,2,97,5,101,1.04,101,59,98
Bakersfield CA,1997,1630,3780,736,97,2,99,6,100,1.04,101,62,97
Bakersfield CA,1998,1725,3900,839,97,2,99,6,100,1.04,101,70,96
Bakersfield CA,1999,1760,3960,856,97,2,99,6,100,1.04,101,70,97
Bakersfield CA,2000,1930,4030,908,97,2,100,6,100,1.04,101,72,97
Bakersfield CA,2001,1985,4150,1115,97,3,99,8,100,1.05,101,85,96
Bakersfield CA,2002,2045,4300,1255,97,3,99,8,100,1.05,101,95,96
Bakersfield CA,2003,2000,4500,1544,97,4,99,10,100,1.06,101,114,96
Bakersfield CA,2004,2035,4725,1965,94,5,98,12,99,1.07,101,141,96
Bakersfield CA,2005,2065,4930,2190,94,5,98,13,99,1.08,101,152,95
Bakersfield CA,2006,2235,4700,2402,94,6,98,13,100,1.08,101,162,93
Bakersfield CA,2007,2275,4600,2680,93,6,99,15,100,1.09,101,175,92
Bakersfield CA,2008,2215,4710,3011,92,7,96,16,99,1.1,100,190,88
Bakersfield CA,2009,2191,4756,2631,93,6,99,14,100,1.09,101,166,90
Bakersfield CA,2010,2149,4432,2825,93,7,97,15,100,1.09,101,176,90
Bakersfield CA,2011,2173,4481,2978,93,7,97,16,99,1.1,100,180,88
Bakersfield CA,2012,2205,4500,3112,93,7,97,16,99,1.1,100,184,87
Bakersfield CA,2013,2240,5187,3138,93,7,97,16,99,1.1,100,183,88
Bakersfield CA,2014,2186,4980,3743,90,9,96,19,96,1.12,99,215,87
Baltimore MD,1982,8520,11180,7197,16,17,1,16,28,1.09,43,1012,16
Baltimore MD,1983,9250,12500,8052,16,4,29,18,25,1.15,29,1027,16
Baltimore MD,1984,10870,13105,9135,16,5,22,20,24,1.16,29,1117,15
Baltimore MD,1985,12225,13470,9885,16,5,29,21,22,1.17,28,1167,15
Baltimore MD,1986,13015,13940,10908,16,6,23,23,21,1.18,27,1265,15
Baltimore MD,1987,13735,14350,11569,16,6,27,24,20,1.18,29,1294,15
Baltimore MD,1988,13920,14700,13046,16,7,21,26,20,1.2,25,1401,15
Baltimore MD,1989,15000,14930,14254,15,8,18,28,19,1.21,24,1461,15
Baltimore MD,1990,15800,15580,15879,15,9,16,30,16,1.22,22,1544,15
Baltimore MD,1991,16045,15690,16937,15,9,22,31,18,1.23,22,1580,15
Baltimore MD,1992,17625,16000,17754,15,10,16,32,18,1.23,24,1608,15
Baltimore MD,1993,18030,16400,18792,15,10,24,32,22,1.23,25,1653,15
Baltimore MD,1994,18945,16370,19894,16,11,20,33,23,1.24,24,1706,16
Baltimore MD,1995,19770,16380,21205,16,11,35,35,20,1.25,24,1768,16
Baltimore MD,1996,20435,16370,21702,18,12,31,35,26,1.25,26,1758,16
Baltimore MD,1997,20775,16290,22401,18,12,38,36,29,1.26,25,1774,16
Baltimore MD,1998,21290,16560,24034,18,13,34,38,28,1.27,24,1874,16
Baltimore MD,1999,21755,16370,25910,17,14,34,41,23,1.28,23,1976,16
Baltimore MD,2000,22660,16490,27042,17,15,33,41,26,1.29,23,1996,16
Baltimore MD,2001,23555,16640,29697,17,16,31,44,21,1.3,21,2131,16
Baltimore MD,2002,25130,17530,31017,17,17,31,44,26,1.3,25,2191,16
Baltimore MD,2003,26050,18230,32322,17,17,36,45,25,1.31,23,2232,16
Baltimore MD,2004,26335,18440,33941,17,18,33,46,26,1.32,20,2283,16
Baltimore MD,2005,26455,18720,34563,17,19,30,46,26,1.32,22,2249,17
Baltimore MD,2006,26480,18545,35456,17,19,33,47,25,1.32,23,2233,17
Baltimore MD,2007,26670,18555,35899,17,19,41,47,25,1.32,23,2201,17
Baltimore MD,2008,26200,18080,34540,17,19,41,44,33,1.3,31,2039,17
Baltimore MD,2009,26400,18100,33702,17,18,45,43,28,1.29,28,1997,18
Baltimore MD,2010,26678,18251,34687,18,19,39,44,29,1.3,25,2021,18
Baltimore MD,2011,26805,18338,35176,19,19,44,44,28,1.3,27,1987,19
Baltimore MD,2012,26900,18420,35927,19,19,47,45,25,1.31,24,1989,19
Baltimore MD,2013,28327,19105,36678,19,20,40,45,25,1.31,25,2001,19
Baltimore MD,2014,28412,19258,38661,18,21,32,47,23,1.32,23,2075,18
Baton Rouge LA,1982,2000,3450,1488,62,3,36,13,44,1.08,51,188,59
Baton Rouge LA,1983,2015,3505,1504,64,3,42,13,49,1.08,54,184,64
Baton Rouge LA,1984,2050,3630,1795,62,4,34,15,45,1.09,49,211,59
Baton Rouge LA,1985,2085,3740,2062,61,4,40,17,38,1.1,48,234,59
Baton Rouge LA,1986,2120,3590,2252,61,5,33,19,37,1.11,45,250,59
Baton Rouge LA,1987,2165,3635,2352,61,5,39,19,43,1.11,45,252,61
Baton Rouge LA,1988,2190,3730,2531,62,5,47,21,38,1.12,45,261,59
Baton Rouge LA,1989,2125,3985,2621,65,5,57,21,46,1.12,49,258,62
Baton Rouge LA,1990,2305,4095,2673,69,5,64,22,47,1.12,51,249,65
Baton Rouge LA,1991,2365,4315,2912,70,6,58,22,54,1.13,49,261,66
Baton Rouge LA,1992,2400,4550,3095,69,6,63,23,59,1.13,51,269,67
Baton Rouge LA,1993,2520,4800,3388,70,7,59,24,60,1.13,62,286,67
Baton Rouge LA,1994,2635,4980,3681,69,7,65,25,62,1.14,58,303,67
Baton Rouge LA,1995,2750,5110,3940,69,8,62,26,62,1.14,61,315,68
Baton Rouge LA,1996,2890,5300,4187,69,8,70,27,63,1.15,58,325,68
Baton Rouge LA,1997,3000,5495,4523,69,9,68,29,62,1.16,55,343,68
Baton Rouge LA,1998,3100,5660,4876,70,10,66,30,62,1.16,60,365,66
Baton Rouge LA,1999,3210,5850,5229,69,11,63,31,64,1.17,58,383,65
Baton Rouge LA,2000,3325,6100,5491,72,11,70,31,66,1.17,63,389,65
Baton Rouge LA,2001,3460,6350,5705,72,12,66,32,64,1.17,64,393,65
Baton Rouge LA,2002,3600,6520,5980,70,12,73,33,61,1.18,60,405,66
Baton Rouge LA,2003,3710,6800,6342,69,13,71,34,62,1.18,62,420,66
Baton Rouge LA,2004,3830,7160,6597,70,13,75,34,66,1.19,55,426,65
Baton Rouge LA,2005,4055,7345,7191,67,15,65,37,55,1.2,53,449,64
Baton Rouge LA,2006,4190,7505,9171,57,19,33,40,48,1.21,51,554,56
Baton Rouge LA,2007,4280,7675,9692,56,20,26,41,46,1.22,45,570,55
Baton Rouge LA,2008,4350,7700,10118,56,20,30,43,38,1.23,44,573,54
Baton Rouge LA,2009,4500,7800,10084,55,20,24,42,32,1.22,44,573,53
Baton Rouge LA,2010,4714,7973,10670,53,22,16,44,29,1.23,40,596,53
Baton Rouge LA,2011,4858,8012,10728,53,22,17,44,28,1.23,40,581,53
Baton Rouge LA,2012,4745,8300,10974,53,22,18,44,30,1.23,40,583,53
Baton Rouge LA,2013,4922,8388,11534,53,23,17,46,23,1.24,39,603,53
Baton Rouge LA,2014,5030,8304,12104,52,25,11,47,23,1.25,38,623,51
Beaumont TX,1982,1475,1130,511,86,2,62,7,82,1.07,57,66,85
Beaumont TX,1983,1515,1110,518,87,2,68,7,85,1.07,59,65,87
Beaumont TX,1984,1565,1280,538,88,2,78,7,90,1.07,62,64,87
Beaumont TX,1985,1550,1385,545,90,2,82,7,92,1.07,66,63,88
Beaumont TX,1986,1640,1370,553,90,2,84,7,94,1.07,72,63,91
Beaumont TX,1987,1580,1390,572,90,2,86,7,94,1.07,78,62,91
Beaumont TX,1988,1600,1430,585,91,2,86,8,92,1.07,82,61,91
Beaumont TX,1989,1660,1435,622,92,3,84,8,95,1.08,79,62,92
Beaumont TX,1990,1690,1500,632,93,3,87,8,95,1.08,84,60,93
